Référence;Désignation;Fournisseur;Fabricant;Catégorie;Tarif approximatif;CONCAT;Clé_Réf;Code interne;Note;SH Code;Poids unitaire;Conditionnement;Poids;Unité poids;PCB;Poids emballage;Mode de colisage
406319;Commande Rotative Déporté DX3 avec poignée noire;COMINTER;Legrand;Accessoires de contrôle;148,19;LEG406319;406319;;;;;;;;;;
MELV429338T;ComPacT NSX Commanjde Rotative Prolongée Standard poignée noire pour NSX250;COMINTER;Schneider Electric;Accessoires de contrôle;173,79;MELV429338T;MELV429338T;;;;;;;;;;
TEXALD132;Harmony boite - 1 bouton tournant Ø22 à manette - 1F;COMINTER;Schneider Electric;Accessoires de contrôle;23,17;TEXALD132;TEXALD132;;;;;;;;;;
615250;Verrou Agrip pour câble 1.5/2.5mm;109 DISTRIBUTION;BLM;Accessoires d'éclairage;2,2;615250;615250;;;;;;;;;;
615250;Verrou Agrip pour câble 1.5/2.5mm;109 DISTRIBUTION;BLM;Accessoires d'éclairage;2,2;615250;615250;;;;;;;;;;
AC60.003;CADRE SAILLIE PANN.60x60;RAVATE ELEC;Exalum;Accessoires d'éclairage;18,5;AC60.003;AC60.003;;;;;;;;;;
ACC.103047;Télécommande RF pour TubuLEDDétecteur CLAREO SENSORACCESS 2;CLAREO;Clareo;Accessoires d'éclairage;;ACC.103047;ACC.103047;;;;;;;;;;
BLM621300;Kit 2m. filin 1.5mm embout à oeil 90°+1 verrou;COMINTER;BLM;Accessoires d'éclairage;6,4;BLM621300;BLM621300;;;;;;;;;;
KIT Y;Kit de suspension;CLAREO;Clareo;Accessoires d'éclairage;5,54;KIT Y;KIT Y;;;;;;;;;;
PHILI-740941;BALLAST BSN 100W L33A2TS 230V 50Hz;STAND 64;Philips;Accessoires d'éclairage;83,32;PHILI-740941;PHILI-740941;;;;;;;;;;
TIGESANCRAGE;Jeux de 4 tiges d'ancrage;COMINTER;;Accessoires d'éclairage;28;TIGESANCRAGE;TIGESANCRAGE;;;;;;;;;;
DEP33674A037;"Boitier type 0 classe II ivoire-4 bornes 2x16
mm²-1coupe-circuit-Ph+N";COMINTER;Depagne;Accessoires d'éclairage;26;DEP33674A037;DEP33674A037;;;85369085;;Carton;;;10;;
DEP95460101;"Parafoudre monophasé type 2 ou 3 In 5kA Imax 10kA
1 Mod.T.B";COMINTER;Depagne;Accessoires d'éclairage;26,5;DEP95460101;DEP95460101;;;85363010;;Boîte;;;10;;
ECLEXT003/41;Semelle PEPLIC type DECO pour mats 4M 5M et 6M;COMINTER;Petit Jean;Accessoires d'éclairage;53,9;ECLEXT003/41;ECLEXT003/41;;;73269098;;Sac en toile de jute;;;9;;
DEP46060A001;Jeu de 4 capuchons de protection noir et tiges M14;COMINTER;Depagne;Accessoires d'éclairage;7,32;DEP46060A001;DEP46060A001;;;;;;;;;;
DT6750;ADAPTATEUR SDS-PLUS 110;RAVATE PRO;De Walt;Accessoires électroportatif;34;DT6750;DT6750;;;;;;;;;;
B64244;BURIN AUTO-AFFUTANTE SDS PLUS;SD Fixation;;Accessoires électroportatif;14,96;B64244;B64244;;;82079099;;;;;;;
E2028;Burin large auto-affutant 400mm SDS MAX;SD Fixation;Makita;Consommables;17,55;E2028;E2028;;Tarif exceptionnel;82079099;2,5;Carton;;;2;;
MWK4932343734;BURIN PIC SDS MAX 280MM (X1) -D E V I S CLIP BROCHAB;GMR;Milwaukee;Accessoires électroportatif;7;MWK4932343734;MWK4932343734;;;82079099;;;;;;;
MWK4932343735;BURIN PIC SDS MAX 400MM (X1) - CLIP BROCHAB;GMR;Milwaukee;Accessoires électroportatif;7;MWK4932343735;MWK4932343735;;;82079099;;;;;;;
MWK4932343736;BURIN PIC SDS MAX 600MM (X1) - CLIP BROCHAB;GMR;Milwaukee;Accessoires électroportatif;12;MWK4932343736;MWK4932343736;;;82079099;;;;;;;
DT6802;BURIN PLAT SDS-PLUS DT6802;RAVATE PRO;De Walt;Accessoires électroportatif;11,82;DT6802;DT6802;;;82079099;;;;;;;
B16360;BURIN SDS MAX 25 X 400MM ECEF;SD Fixation;;Accessoires électroportatif;17,55;B16360;B16360;;;82079099;2,5;Carton;;;;;
FMA40009;BURIN SDS-MAX LG.24 L.400;Quincaillerie Angles;;Accessoires électroportatif;27,12;FMA40009;FMA40009;;;82079099;;;;;;;
DGA30309;BATTERIE M18 B5 18V 5.0AH RED LI-ION;Quincaillerie Angles;Milwaukee;Accessoires électroportatif;99;DGA30309;DGA30309;;;;;;;;;;
PIA10056;CHARGEUR M12-18FC M12-M18 MILWAUKEE;Quincaillerie Angles;Milwaukee;Accessoires électroportatif;99;PIA10056;PIA10056;;;;;;;;;;
DT8976;COFFRET 7 FORÊT BÉTON SDS PLUS;Ravate Pro;DeWalt;Accessoires électroportatif;58,65;DT8976;DT8976;;;;;;;;;;
402555;Coffret Alu 5 burins + 12 forets SDS+ Hikoki;SD Fixation;Hikoki;Accessoires électroportatif;36,8571;402555;402555;;;82079099;;;;;;;
17007;Coffret de 7 forets béton SDS Ø5-12mm;Telenco;;Accessoires électroportatif;57,76;17007;17007;;;;;;;;;;
DT9598;Foret 20x300 SDS;Ravate Pro;;Consommables;25,93;DT9598;DT9598;;;;;;;;;;
227054039;FORET R FORCE3+ D.25X450X400;COREDIME;Spit;Accessoires électroportatif;62,7429;227054039;227054039;;;;;;;;;;
23720;Coup de poing à accrochage non lumineux Osmoz complet IP69 Ø40;GMR;Legrand;Alarme Incendie;24,52;LEG23720;23720;;;;;;;;;;
23792;Voyant lumineux Osmoz complet IP69 vert - 230V~;GMR;Legrand;Alarme Incendie;22,67;LEG23792;23792;;;;;;;;;;
24212;Arrêt d urgence coup de point 1/4 tours app;COMINTER;Legrand;Alarme Incendie;34,1;LEG24212;24212;;;;;;;;;;
38050;Coffret coupure enseigne lumineuse inter pompier 2P 26A 250V;GMR;Legrand;Alarme Incendie;85,67;LEG38050;38050;;;;;;;;;;
38096;COFFRET A MANETTE SIGNAL.230V;RAVATE ELEC;Legrand;Alarme Incendie;233,38;LEG38096;38096;;;;;;;;;;
40580;#DIFFUSEUR SONORE CLA.B IP3;RAVATE ELEC;Legrand;Alarme Incendie;40;LEG40580;40580;;;;;;;;;;
40581;Dispositif sonore d'alarme feu Mosaic - saillie - avec flash - classe B;GMR;Legrand;Alarme Incendie;94,5;LEG40581;40581;;;;;;;;;;
40596;Alarme sonore et lumineuse;COREDIME;Legrand;Alarme Incendie;73;LEG40596;40596;;;;;;;;;;
138012;Déclencheur Manuel DM conventionnel standard;GMR;Legrand;Alarme Incendie;32,48;LEG138012;138012;;;;;;;;;;
138023;Dispositif de commande manuelle pour issue de secours DCMIS standard;RAVATE ELEC;Legrand;Alarme incendie;41,48;LEG138023;138023;;;;;;;;;;
138095;Kit étanchéité pour rendre les déclencheurs manuels DM IP65;COREDIME;Legrand;Alarme incendie;22;LEG138095;138095;;;;;;;;;;
140562;#TABLEAU D ALARME TYPE 4 SECTE;RAVATE ELEC;Legrand;Alarme incendie;237,57;LEG140562;140562;;;;;;;;;;
346005;Centrale type 4;COREDIME;Legrand;Alarme Incendie;276;LEG346005;346005;;;;;;;;;;
023720;Coup de poing à accrochage non lumineux Osmoz complet IP69 Ø40;GMR;Legrand;Alarme Incendie;24,52;LEG023720;023720;;;;;;;;;;
023792;Voyant lumineux Osmoz complet IP69 vert - 230V~;GMR;Legrand;Alarme Incendie;22,67;LEG023792;023792;;;;;;;;;;
024212;Arrêt d urgence coup de point 1/4 tours app;COMINTER;Legrand;Alarme Incendie;34,1;LEG024212;024212;;;;;;;;;;
038050;Coffret coupure enseigne lumineuse inter pompier 2P 26A 250V;GMR;Legrand;Alarme Incendie;85,67;LEG038050;038050;;;;;;;;;;
038096;COFFRET A MANETTE SIGNAL.230V;RAVATE ELEC;Legrand;Alarme Incendie;233,38;LEG038096;038096;;;;;;;;;;
040580;#DIFFUSEUR SONORE CLA.B IP3;RAVATE ELEC;Legrand;Alarme Incendie;40;LEG040580;040580;;;;;;;;;;
040581;Dispositif sonore d'alarme feu Mosaic - saillie - avec flash - classe B;GMR;Legrand;Alarme Incendie;94,5;LEG040581;040581;;;;;;;;;;
040584;Dispositif sonore d'alarme feu DSAF - IP65 IK07 classe B 90dB à 2m - fixation saillie;COREDIME;Legrand;Alarme incendie;57;LEG040584;040584;;;;;;;;;;
040596;Alarme sonore et lumineuse;COREDIME;Legrand;Alarme Incendie;73;LEG040596;040596;;;;;;;;;;
040598;Dispositif visuel alarme feu;RAVATE ELEC;Legrand;Alarme Incendie;118;LEG040598;040598;;;;;;;;;;
138012;Déclencheur Manuel DM conventionnel standard;GMR;Legrand;Alarme Incendie;32,48;LEG138012;138012;;;;;;;;;;
138023;Dispositif de commande manuelle pour issue de secours DCMIS standard;RAVATE ELEC;Legrand;Alarme incendie;41,48;LEG138023;138023;;;;;;;;;;
140562;#TABLEAU D ALARME TYPE 4 SECTE;RAVATE ELEC;Legrand;Alarme incendie;237,57;LEG140562;140562;;;;;;;;;;
ACC0073-002;Module 8 entrées Tasmpan-ME8;COREDIME;Finsecur;Alarme Incendie;81,1;ACC0073-002;ACC0073-002;;;;;;;;;;
ASL0015-FIN02;FINSECUR DVAF R SEXTANT : Diffuseur visuel, 9V à 60V;ATECH;Finsecur;Alarme Incendie;89,31;ASL0015-FIN02;ASL0015-FIN02;;;;;;;;;;
BBG0010-FIN01;Déclencheur manuel;Integral Système;Finsecur;Alarme Incendie;14,9;BBG0010-FIN01;BBG0010-FIN01;;;;;;;;;;
CORAIL 48.4;Alimentation Eléctrique de Secours 48V 4A, Avec batterie 12AH;Topbis;Finsecur;Alarme Incendie;1967,28;CORAIL 48.4;CORAIL 48.4;;;;;;;;;;
CORAIL24.2CP;CORAIL 24.2 CP - 7,2 ALI0002-FIN01-FINSECUR AES-24/2;ATECH;Finsecur;Alarme Incendie;767,05;CORAIL24.2CP;CORAIL24.2CP;;;;;;;;;;
CP NEMO + PLOMBACCDM211;FINSECUR CP NEMO + PLOMB : Lot de 5 volets de protection pour DM NEMO + Plombs;ATECH;Finsecur;Alarme Incendie;14,69;CP NEMO + PLOMBACCDM211;CP NEMO + PLOMBACCDM211;;;;;;;;;;
CT440.8810;Ceinture pour montage en saillie de la CENTRALE REFUGE;CADistribution;Castel;Alarme Incendie;116;CT440.8810;CT440.8810;;;;;;;;;;
CT440.8952;Pack REFUGE EAS 2;CADistribution;Castel;Alarme Incendie;1420;CT440.8952;CT440.8952;;;;;;;;;;
DMS1100;DECLENCHEUR MANUEL ROUGE SIMPLE ACTION;109 Distribution;Zemper;Alarme Incendie;21;DMS1100;DMS1100;;;;;;;;;;
DSAF SEXT;ADiffuseur sonore 90Db, 9V à 60V;Topbis;Finsecur;Alarme Incendie;98,67;DSAF SEXT;DSAF SEXT;;;;;;;;;;
DSL1701;DIFFUSEUR SONORE SON;109 Distribution;Zemper;Alarme Incendie;53;DSL1701;DSL1701;;;;;;;;;;
DSL1709;DIFFUSEUR SONORE FLASH ROUGE;109 Distribution;Zemper;Alarme Incendie;118;DSL1709;DSL1709;;;;;;;;;;
DVAF SEXT;ADiffuseur visuel. 9V à 60V. Puissance sonore : 90db. Flash blanc ou rouge;Topbis;Finsecur;Alarme Incendie;145,93;DVAF SEXT;DVAF SEXT;;;;;;;;;;
E-I2P;Module d'inversion de polarité et de puissance sur KARA 8UP et BALTIC 512;Topbis;Finsecur;Alarme Incendie;274,52;E-I2P;E-I2P;;;;;;;;;;
FINATE0007-FIN01;Alarme technique Tasman-LCD;COREDIME;Finsecur;Alarme Incendie;250,3;FINATE0007-FIN01;FINATE0007-FIN01;;;;;;;;;;
IROISE 4-1+BAAT4717-1;FINSECUR IROISE 4-1+ : Tableau d'alarme incendie type 4;ATECH;Finsecur;Alarme Incendie;189,84;IROISE 4-1+BAAT4717-1;IROISE 4-1+BAAT4717-1;;;;;;;;;;
IROISE 4-3+;Tableau d'alarme incendie de type 4. Alimentation secteur 220V. 1 ligne sirèn;Topbis;Finsecur;Alarme Incendie;614,39;IROISE 4-3+;IROISE 4-3+;;;;;;;;;;
LEG023720;Coup de poing à accrochage non lumineux Osmoz complet IP69 Ø40;GMR;Legrand;Alarme Incendie;24,52;LEGLEG023720;LEG023720;;;;;;;;;;
LEG023792;Voyant lumineux Osmoz complet IP69 vert - 230V~;GMR;Legrand;Alarme Incendie;22,67;LEGLEG023792;LEG023792;;;;;;;;;;
LEG024212;Arrêt d urgence coup de point 1/4 tours app;COMINTER;Legrand;Alarme Incendie;34,1;LEGLEG024212;LEG024212;;;;;;;;;;
LEG038050;Coffret coupure enseigne lumineuse inter pompier 2P 26A 250V;GMR;Legrand;Alarme Incendie;85,67;LEGLEG038050;LEG038050;;;;;;;;;;
LEG038096;COFFRET A MANETTE SIGNAL.230V;RAVATE ELEC;Legrand;Alarme Incendie;233,38;LEGLEG038096;LEG038096;;;;;;;;;;
LEG040581;Dispositif sonore d'alarme feu Mosaic - saillie - avec flash - classe B;GMR;Legrand;Alarme Incendie;94,5;LEGLEG040581;LEG040581;;;;;;;;;;
LEG040596;Alarme sonore et lumineuse;COREDIME;Legrand;Alarme Incendie;73;LEGLEG040596;LEG040596;;;;;;;;;;
LEG040598;Dispositif visuel alarme feu;RAVATE ELEC;Legrand;Alarme Incendie;118;LEGLEG040598;LEG040598;;;;;;;;;;
LEG138012;Déclencheur Manuel DM conventionnel standard;GMR;Legrand;Alarme Incendie;32,48;LEGLEG138012;LEG138012;;;;;;;;;;
LEG346005;Centrale type 4;COREDIME;Legrand;Alarme Incendie;276;LEGLEG346005;LEG346005;;;;;;;;;;
NEMO C;Déclencheur manuel conventionnel. Certifié CE DPC.;Topbis;Finsecur;Alarme Incendie;51,78;NEMO C;NEMO C;;;;;;;;;;
NEMO C BBGCO216;FINSECUR NEMO C : Déclencheur manuel conventionnel, Certifié CE DPC;ATECH;Finsecur;Alarme Incendie;14,9;NEMO C BBGCO216;NEMO C BBGCO216;;;;;;;;;;
REHAUSSE;Socle de réhausse pour Sextant;Topbis;Finsecur;Alarme Incendie;11,45;REHAUSSE;REHAUSSE;;;;;;;;;;
SCHXALK178E;Boite jaune arrêt urgence rouge- pousser tourner - 1F+1O - Ø40;109 Distribution;Schneider Electric;Alarme Incendie;32;SCHXALK178E;SCHXALK178E;;;;;;;;;;
TA41401;ALARME INCENDIE TYPE 4 1 ZONE;109 Distribution;Zemper;Alarme Incendie;208;TA41401;TA41401;;;;;;;;;;
UR-346002;TABLEAU D'ALARME TYPE 4 A PIL;RAVATE ELEC;Legrand - URA;Alarme Incendie;140;UR-346002;UR-346002;;;;;;;;;;
XALK178E;BOITE ARRET D'URGENCE;RAVATE ELEC;Schneider Electric;Alarme Incendie;29,63;XALK178E;XALK178E;;;;;;;;;;
XB4BS8445;ARRET D URGENCE;RAVATE ELEC;Schneider Electric;Alarme Incendie;26,14;XB4BS8445;XB4BS8445;;;;;;;;;;
ZBY9120;ETIQUETTE ARRET URGENCE;RAVATE ELEC;Schneider Electric;Alarme Incendie;2,24;ZBY9120;ZBY9120;;;;;;;;;;
ZBZ1605;DARDE POUR BOUTON C.D.;RAVATE ELEC;Schneider Electric;Alarme Incendie;33,87;ZBZ1605;ZBZ1605;;;;;;;;;;
ASL0014-FIN41;SIRÈNE D'ÉVACUATION SEXTANT CLASSE B FINSECUR;Integral Système;Finsecur;Alarme Incendie;37,3;ASL0014-FIN41;ASL0014-FIN41;;;;;;;;;;
ACC0108-001;SOCLE SONAR-SU A VIS;Integral Système;Finsecur;Alarme Incendie;2,75;ACC0108-001;ACC0108-001;;;;;;;;;;
ASL0015-FIN41;DIFFUSEUR LUMINEUX BLANC SEXTANT .EMBASE MURAL BLANCHE;Integral Système;Finsecur;Alarme Incendie;58,45;ASL0015-FIN41;ASL0015-FIN41;;;;;;;;;;
BAAT4717-1;CENTRALE TYPE4, 1 BOUCLE DM ET 1 RELAIS DE SYNTHÈSE;Integral Système;Finsecur;Alarme Incendie;108,12;BAAT4717-1;BAAT4717-1;;;;;;;;;;
ACC0069-002;VOLETS DE PROTECTION BBG SEXTANT-DMA/DMC ;Integral Système;Finsecur;Alarme Incendie;2,18;ACC0069-002;ACC0069-002;;;;;;;;;;
2040424012;ALIM. AES 24V 4A C24+BATTERIE 12AH;Integral Système;Finsecur;Alarme Incendie;677,32;2040424012;2040424012;;;;;;;;;;
138048;Declencheur a membrane deformable VERT;COMINTER;Legrand;Alarme Incendie;68,53;LEG138048;138048;;;;;;;;;;
ASL0005-003;AVERTISSEUR SONORE DE 9 À28 VDC102DB ROLP SV;Integral Système;Finsecur;Alarme Incendie;52,16;ASL0005-003;ASL0005-003;;;;;;;;;;
BBGCO202;DÉCLENCHEUR MANUEL ÉTANCHE CONVENTIONNEL;Integral Système;Finsecur;Alarme Incendie;88,39;BBGCO202;BBGCO202;;;;;;;;;;
038097;Volet transparent plombable pour déclencheur manuel DM;COMINTER;Legrand;Alarme Incendie;16,29;LEG038097;038097;;;;;;;;;;
069548L;Coup de poing d'urgence poussoir déverrouillage à clé étanche Plexo IP55 avec enjoliveur jaune et bouton rouge;COREDIME;Legrand;Alarme incendie;96,6835;LEG069548L;069548L;;;;;;;;;;
038092;Etiquette de Coupure d urgence;COMINTER;Legrand;Alarme Incendie;8,71;LEG038092;038092;;;;;;;;;;
038051;COUPURE ENSEIGNE ROUGE 2P 16A;COMINTER;Legrand;Alarme Incendie;67,16;LEG038051;038051;;;;;;;;;;
367303;367303 DJ ROUGE 10 CD / IP45;COMINTER;Legrand;Alarme Incendie;122,3;LEG367303;367303;;;;;;;;;;
957202;957202 DIFFUSEUR SONORE CLASSE B;COMINTER;Legrand;Alarme Incendie;42,95;LEG957202;957202;;;;;;;;;;
RCP300G;Déclencheur Manuel VERT à Membrane Déformable 3 Contacts IP4;CADistribution;;Alarme Incendie;24;RCP300G;RCP300G;;;;;;;;;;
7129;AMPOULE LED E14 FILAMENT FLAMME 4W 4000K;109 Distribution;Miidex Lighting;Ampoules;1,5;7129;7129;AMP_LED_E14_4000K;;;;;;;;;
73934;LED 9 WATT BULB E27 4000°K BOITE;109 Distribution;Miidex Lighting;Ampoules;1,75;73934;73934;AMP_LED_E27_4000K;;;;;;;;;
73936;LED VISION-EL 10 W BULB E27 6000°K BOITE;109 Distribution;Miidex Lighting;Ampoules;;73936;73936;AMP_LED_E27_6000K;;;;;;;;;
300004;AMPOULE E27 A60 11W 1250LM 4000K 200°;109 Distribution;Electra;Ampoules;1,8;300004;300004;AMP_LED_E27_4000K;;;;;;;;;
300007;AMPOULE E27 A60 8W 900Lm 4000K ;109 Distribution;Miidex Lighting;Ampoules;1,8;300007;300007;AMP_LED_E27_4000K;AMPOULE E27 ;;;;;;;;
517872;TUBE FLUO T8 36W 840 TUSL1/25;RAVATE ELEC;Osram;Ampoules;3,74;517872;517872;;;;;;;;;;
517957;TUBE FLUO T8 58W 840 TUSL1/25;RAVATE ELEC;Osram;Ampoules;3,91;517957;517957;;;;;;;;;;
591445;FH 35W840 HE INDP G5;STAND 64;;Ampoules;3,29;591445;591445;;;;;;;;;;
593114;LAMPE LED STD DEP E27 10W 840;RAVATE ELEC;Osram;Ampoules;4,22;593114;593114;AMP_LED_E27;;;;;;;;;
739381;LED VISION-EL 12W BULB B22 4000°K Boîte;109 DISTRIBUTION;Miidex Lighting;Ampoules;2;739381;739381;AMP_LED_B22_4000K;;;;;;;;;
05-229;LED Bulb - SAMSUNG CHIP 9W E27 A60 4000K;GMR;Samsung;Ampoules;3,14;05-229;05-229;AMP_LED_E27_4000K;;;;;;;;;
300004;AMPOULE E27 A60 11W 1250LM 4000K 200°;109 Distribution;Electra;Ampoules;1,8;300004;300004;AMP_LED_E27_4000K;;;;;;;;;
37664;LAMPE BIAX S 11W / 840 G23;109 DISTRIBUTION;General Electric;Ampoules;2,5;37664;37664;;;;;;;;;;
517773;L 18W865 G13;STAND 64;;Ampoules;2,18;517773;517773;;;;;;;;;;
517797;L 18W840 G13;STAND 64;;Ampoules;2,18;517797;517797;;;;;;;;;;
517858;L 36W865 G13;STAND 64;;Ampoules;2,5;517858;517858;;;;;;;;;;
517872;L 36W840 G13;STAND 64;;Ampoules;2,5;517872;517872;;;;;;;;;;
517933;L 58W865G13;STAND 64;;Ampoules;2,63;517933;517933;;;;;;;;;;
517957;L 58W840 G13;STAND 64;;Ampoules;2,63;517957;517957;;;;;;;;;;
591384;FH 14W840 HE INDP G5;STAND 64;;Ampoules;2,91;591384;591384;;;;;;;;;;
591407;FH 21W840 HE INDP G5;STAND 64;;Ampoules;5,06;591407;591407;;;;;;;;;;
591421;FH 28W840 HE INDP G5;STAND 64;;Ampoules;3,59;591421;591421;;;;;;;;;;
591445;FH 35W840 HE INDP G5;STAND 64;;Ampoules;3,29;591445;591445;;;;;;;;;;
591582;FQ 54W840 HO INDP G5;STAND 64;;Ampoules;2,91;591582;591582;;;;;;;;;;
591643;FQ 24W840 HO INDP G5;STAND 64;;Ampoules;5,83;591643;591643;;;;;;;;;;
591704;FQ 39W840 HO INDP G5;STAND 64;;Ampoules;6,22;591704;591704;;;;;;;;;;
591841;FQ 80W840 HO INDP G5;STAND 64;;Ampoules;3,3;591841;591841;;;;;;;;;;
592032;27 LED A60 7W 806LM 2700°K CLAIRE;STAND 64;;Ampoules;4,17;592032;592032;;;;;;;;;;
593114;LAMPE LED STD DEP E27 10W 840;RAVATE ELEC;Osram;Ampoules;4,22;593114;593114;AMP_LED_E27;;;;;;;;;
593190-049149;LAMPE LED STD DEP E27 8.5W 84;RAVATE ELEC;Osram;Ampoules;2,9;593190-049149;593190-049149;AMP_LED_E27;;;;;;;;;
7129;AMPOULE LED E14 FILAMENT FLAMME 4W 4000K;109 Distribution;Miidex Lighting;Ampoules;1,5;7129;7129;AMP_LED_E14_4000K;;;;;;;;;
73934;LED 9 WATT BULB E27 4000°K BOITE;109 Distribution;Miidex Lighting;Ampoules;1,75;73934;73934;AMP_LED_E27_4000K;;;;;;;;;
739381;LED VISION-EL 12W BULB B22 4000°K Boîte;109 DISTRIBUTION;Miidex Lighting;Ampoules;2;739381;739381;AMP_LED_B22_4000K;;;;;;;;;
7635121330O10;E14 LED P45 4W 2700°K 470LM;STAND 64;;Ampoules;4,85;7635121330O10;7635121330O10;AMP_LED_E14_2700K;;;;;;;;;
796710;FH 49W840 HO INDP G5;STAND 64;;Ampoules;2,91;796710;796710;;;;;;;;;;
817173;27 LED A60 7W 806LM 4000°K CLAIRE;STAND 64;;Ampoules;4,17;817173;817173;;;;;;;;;;
93120823;LED VALUE A60 8.8W 840 E27 T;109 Distribution;Tungsram;Ampoules;1,8;93120823;93120823;AMP_LED_E27;;;;;;;;;
958104;PAR 16 LED 4.3W 2700°K GU10;STAND 64;;Ampoules;4,83;958104;958104;AMP_LED_GU10_2700K;;;;;;;;;
958128;PAR 16 LED 4.3W 4000°K 345LM 36° GU10;STAND 64;;Ampoules;4,83;958128;958128;AMP_LED_GU10_4000K;;;;;;;;;
ECLINC072/2;TUBE S19 -7W LED 3000K;COMINTER;;Ampoules;8,01;ECLINC072/2;ECLINC072/2;;Ampoule pour réglette Ebénoïd;;;;;;;;
ECLLED71271;Lampe LED E14 4W 495Lm 2700K 220VAC IP40;COMINTER;Miidex Lighting;Ampoules;2,74;ECLLED71271;ECLLED71271;AMP_LED_E14_2700K;;;;;;;;;
ECLLED7129;Lampe LED E14 4W 470Lm 4000K 220VAC IP40;COMINTER;;Ampoules;2,73;ECLLED7129;ECLLED7129;AMP_LED_E14_4000K;;;;;;;;;
ECLLED71395;Lampe LED E27 6W 806Lm 4000K 220VAC IP40 Bulb dépoli 300°;COMINTER;;Ampoules;3,353;ECLLED71395;ECLLED71395;AMP_LED_E27_4000K;;;;;;;;;
ECLLED73847;LED TUBE - E27 13 W - 1300 lm - 4000 K;COMINTER;Miidex Lighting;Ampoules;3,28;ECLLED73847;ECLLED73847;AMP_LED_E27_4000K;;;;;;;;;
ECLLED739340;Ampoule LED VISION-EL 10W BULB E27 4000K (Pack de 5);COMINTER;Miidex Lighting;Ampoules;7,05;ECLLED739340;ECLLED739340;AMP_LED_E27_4000K;;;;;;;;;
GEL93094495;Ampoule GU10;COREDIME;General Electric;Ampoules;;GEL93094495;GEL93094495;AMP_LED_GU10;;;;;;;;;
L402212;LAMPE LED STD B22 11,1W 4K;RAVATE ELEC;;Ampoules;1,42;L402212;L402212;AMP_LED_B22_4000K;;;;;;;;;
L552710;LAMPE LED STD E27 8,8W 3K;RAVATE ELEC;Arcotec;Ampoules;1,4;L552710;L552710;AMP_LED_E27_3000K;;;;;;;;;
L602712;LAMPE LED STD E27 11,1W 3K;RAVATE ELEC;Arcotec;Ampoules;1,45;L602712;L602712;AMP_LED_E27_3000K;;;;;;;;;
L602715;LAMPE LED STD E27 15,3W 3K;RAVATE ELEC;;Ampoules;1,87;L602715;L602715;AMP_LED_E27_3000K;;;;;;;;;
L95109PACK;Lampe, source,ampoule 9w e27 4000k pack de 5 800lm led ;YESSS;In House LED;Ampoules;8,75;L95109PACK;L95109PACK;AMP_LED_E27_4000K;;;;;;;;;
LBCLADIC01;GU5 3 MR16 7W 645LM 3000K X5P;COREDIME;Lit by Cardi;Ampoules;9,355538462;LBCLADIC01;LBCLADIC01;AMP_LED_GU5_3000K;;;;;;;;;
LBCLADIC02;GU5 3 MR16 7W 680LM 4000K X5P;COREDIME;Lit by Cardi;Ampoules;12,94876923;LBCLADIC02;LBCLADIC02;AMP_LED_GU5_4000K;;;;;;;;;
LBCLAFLA01;FLAMME E14 5W 470LM 2700K X5P;COREDIME;Lit by Cardi;Ampoules;4,663538462;LBCLAFLA01;LBCLAFLA01;AMP_LED_E14_2700K;;;;;;;;;
LBCLAPAR01;GU10 PAR16 6W 520LM 3000K X5P;COREDIME;Lit by Cardi;Ampoules;5,221076923;LBCLAPAR01;LBCLAPAR01;AMP_LED_GU10_3000K;;;;;;;;;
LBCLAPAR02;GU10 PAR16 6W 560LM 4000K X5P;COREDIME;Lit by Cardi;Ampoules;5,252;LBCLAPAR02;LBCLAPAR02;AMP_LED_GU10_4000K;;;;;;;;;
LBCLAPAR03;GU10 PAR16 DIM 5.7W 830 X5P;COREDIME;Lit by Cardi;Ampoules;9,010615385;LBCLAPAR03;LBCLAPAR03;AMP_LED_GU10_3000K;;;;;;;;;
LBCLAPAR04;GU10 PAR16 DIM 5.7W 840 X5P;COREDIME;Lit by Cardi;Ampoules;8,947230769;LBCLAPAR04;LBCLAPAR04;AMP_LED_GU10_4000K;;;;;;;;;
LBCLASTD01;STD E27 8.2W 806LM 2700K X5P;COREDIME;Lit by Cardi;Ampoules;5,343384615;LBCLASTD01;LBCLASTD01;AMP_LED_E27_2700K;;;;;;;;;
LBCLASTD02;STD E27 8.2W 820LM 4000K X5P;COREDIME;Lit by Cardi;Ampoules;5,483384615;LBCLASTD02;LBCLASTD02;AMP_LED_E27_4000K;;85395200;0,1;Boîte;;;1;;
LBCLASTD06;STD E27 13W 1521LM 2700K X5P;COREDIME;Lit by Cardi;Ampoules;7,857692308;LBCLASTD06;LBCLASTD06;AMP_LED_E27_2700K;;85395200;;Carton;;;12;;
LBCLASTD07;STD E27 13W 1650LM 4000K X5P;COREDIME;Lit by Cardi;Ampoules;9,53;LBCLASTD07;LBCLASTD07;AMP_LED_E27_4000K;;;;;;;;;
LBCLASTD08;STD E27 DIM 7.3W 806LM 827 X5P;COREDIME;Lit by Cardi;Ampoules;8,637076923;LBCLASTD08;LBCLASTD08;AMP_LED_E27;;;;;;;;;
LBCLASTD09;STD E27 DIM 7.3W 806LM 840 X5P;COREDIME;Lit by Cardi;Ampoules;8,637076923;LBCLASTD09;LBCLASTD09;AMP_LED_E27;;;;;;;;;
